title,author,genres,rating,chapters,reviews,url
Spirit Vessel,Ninth Manager/Jiu Dangjia (九当家),Chinese;Romance;Fantasy;Comedy;Xuanhuan;Action;Mature,59%,1111 Chapters,47,https://www.wuxiaworld.com/novel/spirit-vessel
Splitting the Heavens,睡秋,Chinese;Fantasy;Comedy;Cultivation;Action;Reincarnator,72%,288 Chapters,18,https://www.wuxiaworld.com/novel/splitting-the-heavens
Star Odyssey,Along With The Wind (随散飘风),Chinese;Fantasy;Comedy;Mystery;Sci-fi;Post-apocalyptic;Political Intrigue,76%,2112 Chapters,120,https://www.wuxiaworld.com/novel/star-odyssey
Tales of Demons & Gods,Mad Snail (发飙的蜗牛),Chinese;Fantasy;Xuanhuan;Action,64%,496 Chapters,329,https://www.wuxiaworld.com/novel/tales-of-demons-and-gods
Talisman Emperor,Xiao Jinyu (萧瑾瑜),Chinese;Fantasy;Mystery;Xuanhuan;Action;Crafting;Cooking,52%,2248 Chapters,103,https://www.wuxiaworld.com/novel/talisman-emperor
Terror Infinity,Zhttty,Chinese;Thriller;Action;Modern Setting;Superpowers,71%,835 Chapters,20,https://www.wuxiaworld.com/novel/terror-infinity
The Attack of the Wastrel,Unknown,Chinese;Romance;Fantasy;Female Protagonist,54%,448 Chapters,27,https://www.wuxiaworld.com/novel/the-attack-of-the-wastrel
The Charm of Soul Pets,Fish’s Sky (鱼的天空),Chinese;Cultivation;Action,73%,1829 Chapters,88,https://www.wuxiaworld.com/novel/the-charm-of-soul-pets
The Grandmaster Strategist,"Follow the Crowd (随波逐流, female)",Chinese;Romance;Wuxia,100%,220 Chapters,30,https://www.wuxiaworld.com/novel/the-grandmaster-strategist
The Great Ruler,"Li Hu, also known as '天蚕土豆', 'Heavenly Silkworm Potato'",Chinese;Romance;Fantasy;Xuanhuan;Action;Tragedy,65%,1562 Chapters,28,https://www.wuxiaworld.com/novel/the-great-ruler
The Prodigies War,Xiao Jinyu (萧瑾瑜),Chinese;Fantasy;Xuanhuan;Action,66%,832 Chapters,51,https://www.wuxiaworld.com/novel/the-prodigies-war
The Sovereign's Ascension,Fiery Moon,Chinese;Cultivation;Xuanhuan;Action,60%,1894 Chapters,133,https://www.wuxiaworld.com/novel/the-sovereigns-ascension
The Sword and The Shadow,Hometown Moon (故乡月),Chinese;Romance;Fantasy;Comedy;Action;Tragedy,36%,671 Chapters,18,https://www.wuxiaworld.com/novel/the-sword-and-the-shadow
TranXending Vision,Li Xianyu (李闲鱼),Chinese;Romance;Fantasy;Comedy;Mystery;Action;Modern Setting;Superpowers,51%,1200 Chapters,31,https://www.wuxiaworld.com/novel/tranxending-vision
Ultragene Warlord,Mo Lai Feng (墨来疯),Chinese;Fantasy;Sci-fi;Cultivation;Xuanhuan;Action,59%,840 Chapters,37,https://www.wuxiaworld.com/novel/ultragene-warlord
Unsheathed,烽火戏诸侯,Chinese;Fantasy;Cultivation;Action,78%,12 Chapters,9,https://www.wuxiaworld.com/novel/unsheathed
Upgrade Specialist in Another World,Endless Sea of Clouds [茫茫云海],Chinese;Fantasy;Xuanhuan;Action;Crafting,64%,1357 Chapters,59,https://www.wuxiaworld.com/novel/upgrade-specialist-in-another-world
VRMMO: Passing of the Sword,Calmly Looking Towards the Maple Snow,Chinese;Fantasy;Action;Virtual Reality,52%,185 Chapters,39,https://www.wuxiaworld.com/novel/vrmmo-passing-of-the-sword
VRMMO: The Unrivaled,Lost Leaf,Chinese;Fantasy;Comedy;Action;Virtual Reality;Crafting;Modern Setting,49%,1600 Chapters,70,https://www.wuxiaworld.com/novel/vrmmo-the-unrivaled
Warlock of the Magus World,The Plagiarist,Chinese;Fantasy;Alchemy;Political Intrigue;Mature,82%,1201 Chapters,232,https://www.wuxiaworld.com/novel/warlock-of-the-magus-world
Wu Dong Qian Kun,"Li Hu, also known as '天蚕土豆', 'Heavenly Silkworm Potato'",Chinese;Romance;Fantasy;Xuanhuan;Action;Tragedy,68%,1317 Chapters,78,https://www.wuxiaworld.com/novel/wu-dong-qian-kun
Yama Rising,Nocturnal Stranger,Chinese;Fantasy;Mystery;Thriller;Cultivation;Xuanhuan;Action;Tragedy;Modern Setting,68%,1263 Chapters,51,https://www.wuxiaworld.com/novel/yama-rising
